# P CFF_tot CFF_2 CFF_6 CFF_10
0.019924177 0.0014782445648741233 0.17153999209403992 0.07111988216638565 0.0001856918097473681
0.021022502 0.0017470965206257672 0.05412088707089424 0.13373126089572906 4.242265276843682e-06
0.022822972 0.002064845239354947 0.0051367138512432575 0.2032819390296936 1.5848856449451887e-08
0.025069742 0.0024403836949773543 0.00010826555808307603 0.2332819104194641 4.5529916642417234e-12
0.028319556 0.002884222248332667 3.475699941191124e-07 0.18429596722126007 3.411432474256085e-17
0.03278278 0.003408782805301578 7.346800945384757e-11 0.08554470539093018 1.4201270244938828e-24
0.038131114 0.004028746474179291 3.5871440328591713e-16 0.018865570425987244 3.675420999178116e-35
0.044124376 0.004761464452346101 1.0348898977082547e-23 0.0014838107163086534 0.0
0.05133038 0.005627443641902042 2.686823075488435e-34 2.7708312700269744e-05 0.0
0.057830162 0.006650920585405191 0.0 6.573867494807928e-08 0.0
0.068033084 0.007860539784706841 0.0 7.732535098337046e-12 0.0
0.055996917 0.009290155387292859 0.0 2.8417684478731165e-18 0.0
0.027136482 0.010979778677281431 0.0 1.679509013562212e-28 0.0
0.0060016965 0.012976697888926681 0.0 1.961817850054744e-44 0.0
0.0004752626 0.015336801683343964 0.0 0.0 0.0
9.130662e-05 0.018126143329185374 0.0 0.0 0.0
0.000113920694 0.021422789364681585 0.0 0.0 0.0
0.00011652277 0.025319004480372248 0.0 0.0 0.0
8.1168626e-05 0.029923833771804353 0.0 0.0 0.0
2.9243805e-05 0.035366154632846515 0.0 0.0 0.0
9.2900555e-06 0.041798283704307326 0.0 0.0 0.0
1.4255881e-05 0.049400239827123854 0.0 0.0 0.0
2.5013851e-05 0.05838478230927623 0.0 0.0 0.0
3.255987e-05 0.06900336551463335 0.0 0.0 0.0
2.6931251e-05 0.08155317642744023 0.0 0.0 0.0
1.2895381e-05 0.09638545215587696 0.0 0.0 0.0
8.2934475e-06 0.11391531016034086 0.0 0.0 0.0
1.9571185e-05 0.13463336632939613 0.0 0.0 0.0
4.770908e-05 0.15911946606362218 0.0 0.0 0.0
0.00011547527 0.1880589126652775 0.0 0.0 0.0
0.00030094833 0.2222616472248954 0.0 0.0 0.0
0.00071445294 0.2626849168007812 0.0 0.0 0.0
0.0013978393 0.3104600653157776 0.0 0.0 0.0
0.0025332232 0.3669241969799704 0.0 0.0 0.0
0.0045343265 0.43365759841755047 0.0 0.0 0.0
